"devMac","devName","devOwner","devType","devVendor","devFavorite","devGroup","devComments","devFirstConnection","devLastConnection","devLastIP","devStaticIP","devScan","devLogEvents","devAlertEvents","devAlertDown","devSkipRepeated","devLastNotification","devPresentLastScan","devIsNew","devLocation","devIsArchived","devParentMAC","devParentPort","devIcon","devGUID","devSite","devSSID","devSyncHubNode","devSourcePlugin","devCustomProps"
"Internet","(name not found)","","Gateway","None","0","","","2025-04-18 19:40:47-05:00","2025-04-18 19:40:47-05:00","207.211.189.95","0","1","1","1","0","0","2025-05-02 16:40:30-05:00","1","1","","0","null","","PGkgY2xhc3M9ImZhcyBmYS1nbG9iZSI+PC9pPg==","d5db0ef1-abc1-4d7b-853d-8eda50b97f74","","","","INTRNT","WwogIFsKICAgIHsKICAgICAgIkNVU1RQUk9QX2ljb24iOiAiUEdrZ1kyeGhjM005SW1aaGN5Qm1ZUzEwY21GemFDMWhiSFFpUGp3dmFUND0iCiAgICB9LAogICAgewogICAgICAiQ1VTVFBST1BfdHlwZSI6ICJkZWxldGVfZGV2IgogICAgfSwKICAgIHsKICAgICAgIkNVU1RQUk9QX25hbWUiOiAiIgogICAgfSwKICAgIHsKICAgICAgIkNVU1RQUk9QX2FyZ3MiOiAiRGVsZXRlIGRldmljZSIKICAgIH0sCiAgICB7CiAgICAgICJDVVNUUFJPUF9ub3RlcyI6ICIiCiAgICB9LAogICAgewogICAgICAiQ1VTVFBST1Bfc2hvdyI6IHRydWUKICAgIH0KICBdCl0="
"02:00:17:01:91:3c","micklethefickle3subnet03180816vcn03180816oraclevcncom (IP match)","","","None","0","","","2025-04-18 19:40:47-05:00","2025-04-18 19:40:47-05:00","10.0.0.16","0","1","1","1","0","0","2025-05-02 16:40:30-05:00","0","1","","0","","","PGkgY2xhc3M9ImZhIGZhLWNvbXB1dGVyIj48L2k+","63e7c780-0ac4-4ff4-8e77-77034b513898","","","","local_MAC","WwogIFsKICAgIHsKICAgICAgIkNVU1RQUk9QX2ljb24iOiAiUEdrZ1kyeGhjM005SW1aaGN5Qm1ZUzEwY21GemFDMWhiSFFpUGp3dmFUND0iCiAgICB9LAogICAgewogICAgICAiQ1VTVFBST1BfdHlwZSI6ICJkZWxldGVfZGV2IgogICAgfSwKICAgIHsKICAgICAgIkNVU1RQUk9QX25hbWUiOiAiIgogICAgfSwKICAgIHsKICAgICAgIkNVU1RQUk9QX2FyZ3MiOiAiRGVsZXRlIGRldmljZSIKICAgIH0sCiAgICB7CiAgICAgICJDVVNUUFJPUF9ub3RlcyI6ICIiCiAgICB9LAogICAgewogICAgICAiQ1VTVFBST1Bfc2hvdyI6IHRydWUKICAgIH0KICBdCl0="
"8e:84:e9:9d:ed:59","netalertx","","","None","0","","","2025-05-02 16:40:23-05:00","2025-05-02 16:40:23-05:00","172.18.0.25","0","1","1","1","0","0","2025-05-02 16:40:30-05:00","0","1","","0","","","PGkgY2xhc3M9ImZhIGZhLWNvbXB1dGVyIj48L2k+","f66f509b-5072-4332-8e47-e1f05ae5b9d9","","","","local_MAC","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ=="
"c6:35:f9:62:0f:b1","netalertx","","","None","0","","","2025-05-02 17:10:43-05:00","2025-05-02 17:10:43-05:00","172.18.0.22","0","1","1","1","0","0","2025-05-06 11:00:21-05:00","0","1","","0","","","PGkgY2xhc3M9ImZhIGZhLWNvbXB1dGVyIj48L2k+","aa8b7fd3-5ec7-41b8-819e-a34053f83250","","","","local_MAC","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ=="
"b6:55:ef:c9:bb:a2","netalertx","","","None","0","","","2025-05-06 11:00:14-05:00","2025-05-06 11:00:14-05:00","172.18.0.17","0","1","1","1","0","0","2025-05-06 11:00:21-05:00","0","1","","0","","","PGkgY2xhc3M9ImZhIGZhLWNvbXB1dGVyIj48L2k+","d91e2d34-18c5-4b78-82f8-68e332a3fa39","","","","local_MAC","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ=="
"1a:40:b2:45:ee:1f","netalertx","","","None","0","","","2025-05-06 11:15:24-05:00","2025-05-06 11:15:24-05:00","172.18.0.13","0","1","1","1","0","0","2025-06-01 03:20:38-05:00","0","1","","0","","","PGkgY2xhc3M9ImZhIGZhLWNvbXB1dGVyIj48L2k+","8b553e31-ac99-4f2f-ba64-8b68d43e3be8","","","","local_MAC","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ=="
"e2:15:ea:81:db:67","netalertx-7c96b76d6b-crvrv","","","None","0","","","2025-06-01 03:20:29-05:00","2025-06-01 03:20:29-05:00","10.42.0.58","0","1","1","1","0","0","2025-06-01 03:20:38-05:00","0","1","","0","","","PGkgY2xhc3M9ImZhIGZhLWNvbXB1dGVyIj48L2k+","f83f834e-fed2-4edc-b73a-47ba50f786ff","","","","local_MAC","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ=="
"2e:17:0b:d3:bb:a2","netalertx-7c96b76d6b-svnww","","","None","0","","","2025-06-01 05:36:14-05:00","2025-06-01 05:36:14-05:00","10.42.0.28","0","1","1","1","0","0","2025-06-01 05:36:24-05:00","0","1","","0","","","PGkgY2xhc3M9ImZhIGZhLWNvbXB1dGVyIj48L2k+","4e7414e2-da89-4df0-8ce4-b6d3cf780219","","","","local_MAC","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ=="
"9a:38:68:e6:5c:a4","netalertx-7c96b76d6b-9srg5","","","None","0","","","2025-06-01 06:35:35-05:00","2025-06-01 06:35:35-05:00","10.42.0.37","0","1","1","1","0","0","2025-06-01 06:35:46-05:00","1","1","","0","","","PGkgY2xhc3M9ImZhIGZhLWNvbXB1dGVyIj48L2k+","e03195e4-8160-4582-904e-8edd31aeceec","","","","local_MAC","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ=="
